rowid,kepid,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,TARGET
4900,9763612,FALSE POSITIVE,,0.0,0.0,1.0,0.0,16.0505464000,0.0001387000,-0.0001387000,141.7340800000,0.0058200000,-0.0058200000,,321.0000000000,-135.0000000000,3171.0000000000,194.0000000000,-194.0000000000,94.4000000000,7.5000000000,-7.5000000000,,0.0700000000,-0.0300000000,,37.1200000000,8.3300000000,-4.9700000000,14.6000000000,1.0000000000,5428.0000000000,73.0000000000,-81.0000000000,4563.0000000000,0.0140000000,-68.0000000000,853.0000000000,,-35.0000000000,288.5615200000,46.5360490000,,
4901,,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,11.0826226250,,-0.0021350000,746.1967676000,0.0000932000,,207.0000000000,6.0000000000,-6.0000000000,,0.0061600000,-0.0061600000,268720.0000000000,,-208.0000000000,48.3800000000,15.1600000000,-5.0400000000,793.0000000000,93.6700000000,86.7600000000,-28.4700000000,1725.6000000000,1.0000000000,5831.0000000000,,-204.0000000000,4503.0000000000,0.0520000000,-0.2080000000,922.0000000000,,,293.2528100000,46.0516280000,,1.0
4902,,CANDIDATE,0.45,0.0,0.0,0.0,,421.4284819400,0.0287900000,-0.0287900000,262.2889053000,,-0.0000540000,356.0000000000,2.0000000000,-3.0000000000,8.6044700000,0.0044400000,-0.0044400000,96654.0000000000,38.0000000000,-38.0000000000,54.1600000000,15.2200000000,,335.0000000000,,2.5500000000,-1.8800000000,3162.0000000000,1.0000000000,,,-243.0000000000,4034.0000000000,336.0000000000,-0.1440000000,1708.0000000000,0.4800000000,-586.0000000000,,,13769.0000000000,
4903,10092312,FALSE POSITIVE,0.0,0.0,1.0,1.0,1.0,1.0965872450,,-0.0000014230,132.5142100000,0.0011100000,-0.0011100000,2623.0000000000,1441.0000000000,-0.0400000000,3.0287000000,,-0.0589000000,,10.2000000000,-10.2000000000,168.6800000000,48.8800000000,-16.3000000000,1726.0000000000,,1741.2400000000,-610.2200000000,67.1000000000,2.0000000000,5869.0000000000,142.0000000000,-203.0000000000,4513.0000000000,0.0360000000,,942.0000000000,273.0000000000,-91.0000000000,,47.0983310000,13954.0000000000,
4904,3964545,FALSE POSITIVE,0.0,0.0,,0.0,0.0,3.0124764150,0.0000001420,-0.0000001420,132.2466206000,0.0000418000,,,247.0000000000,-41.0000000000,3.3190300000,,-0.0058900000,198400.0000000000,143.0000000000,-143.0000000000,58.7700000000,17.2400000000,-11.5000000000,1388.0000000000,879.8900000000,786.5200000000,-386.8800000000,2060.3000000000,1.0000000000,6015.0000000000,190.0000000000,-212.0000000000,4329.0000000000,162.0000000000,,1088.0000000000,,-213.0000000000,294.1400100000,39.0898700000,14776.0000000000,1.0
4905,5444491,FALSE POSITIVE,,0.0,0.0,1.0,1.0,0.7597401940,,-0.0085190000,131.8200100000,0.0082500000,-0.0082500000,,488.0000000000,-292.0000000000,3252.0000000000,305.0000000000,-305.0000000000,,4.1000000000,,0.6700000000,0.1600000000,,2059.0000000000,4245.8600000000,2989.1600000000,-1270.8000000000,13.7000000000,,,169.0000000000,-211.0000000000,,42.0000000000,-168.0000000000,,237.0000000000,-102.0000000000,290.5525500000,,14.9200000000,
4906,3735629,FALSE POSITIVE,,0.0,1.0,0.0,,4.6641865170,,-0.0016750000,,0.0003800000,,0.2900000000,,-15.0000000000,4.0639000000,0.0102000000,-0.0102000000,555380.0000000000,1618.0000000000,,,94.5700000000,-175.6000000000,1683.0000000000,1896.4400000000,2053.8800000000,-1670.8200000000,445.7000000000,1.0000000000,5062.0000000000,,,3515.0000000000,,-226.0000000000,3579.0000000000,,-2254.0000000000,287.9879500000,38.8917500000,16.1440000000,
,8244173,FALSE POSITIVE,0.0,,1.0,0.0,,1.0920663990,0.0000000910,-0.0000000910,132.1028432000,0.0000753000,-0.0000753000,488.0000000000,,-13.0000000000,2.9760800000,0.0036500000,-0.0036500000,401890.0000000000,403.0000000000,-403.0000000000,40.7400000000,3.3200000000,-3.3200000000,1164.0000000000,,148.3500000000,-116.2900000000,,,4556.0000000000,160.0000000000,-160.0000000000,,0.0540000000,-32.0000000000,576.0000000000,47.0000000000,,295.5061000000,44.1105380000,15.8960000000,1.0
4908,,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,3.0535786430,,-0.0000004380,133.8788430000,0.0001300000,-0.0001300000,,25.0000000000,,3.2288400000,0.0054100000,-0.0054100000,52880.0000000000,96.7000000000,-96.7000000000,35.3500000000,,-2.8300000000,1035.0000000000,271.4600000000,161.6900000000,,661.4000000000,1.0000000000,5414.0000000000,206.0000000000,-187.0000000000,4625.0000000000,35.0000000000,-105.0000000000,714.0000000000,123.0000000000,-57.0000000000,298.1314100000,41.9509890000,15.7400000000,1.0
4909,9886224,FALSE POSITIVE,12,0.0,,0.0,0.0,2.9926628570,0.0016570000,-0.0016570000,,,-0.0006260000,,147.0000000000,,,0.0126000000,-0.0126000000,113700.0000000000,,-461.0000000000,60.3500000000,,-36.2400000000,1476.0000000000,1123.5400000000,2224.5600000000,-965.6900000000,296.8000000000,1.0000000000,4927.0000000000,190.0000000000,-155.0000000000,,728.0000000000,-312.0000000000,1837.0000000000,,,289.8569000000,46.7899280000,16328.0000000000,1.0
4910,3735634,FALSE POSITIVE,,,1.0,1.0,1.0,4.6641885630,,-0.0014620000,,0.0002590000,,1254.0000000000,86.0000000000,-69.0000000000,3773.0000000000,0.0143000000,-0.0143000000,11360.0000000000,52.6000000000,-52.6000000000,,,,1221.0000000000,525.4600000000,,-295.1400000000,272.6000000000,1.0000000000,5699.0000000000,,-155.0000000000,4192.0000000000,306.0000000000,-204.0000000000,1215.0000000000,365.0000000000,-365.0000000000,287.9895900000,38.8903810000,13915.0000000000,
,6058875,FALSE POSITIVE,0.0,,1.0,,0.0,,0.0000000360,-0.0000000360,131.7871403000,0.0000567000,,,13.0000000000,-13.0000000000,,0.0030700000,-0.0030700000,,226.0000000000,-226.0000000000,33.4000000000,2.1300000000,,1458.0000000000,1071.8800000000,,-270.2700000000,1361.5000000000,1.0000000000,,,-185.0000000000,4729.0000000000,39.0000000000,-32.0000000000,534.0000000000,,-34.0000000000,296.3703600000,41.3904690000,15839.0000000000,1.0
4913,,,0.0,0.0,1.0,0.0,0.0,1.6749848440,,-0.0000003490,131.7930340000,0.0001970000,-0.0001970000,731.0000000000,,-18.0000000000,4.9213400000,,-0.0082800000,,322.0000000000,,,27.5100000000,-47.1500000000,,20561.2900000000,,-12489.9400000000,858.8000000000,1.0000000000,,,,3971.0000000000,221.0000000000,-136.0000000000,,448.0000000000,-768.0000000000,293.5743700000,48.0074390000,14567.0000000000,1.0
4914,,,969,,,0.0,0.0,35.8754482000,0.0003946000,-0.0003946000,147.5086000000,,,26.0000000000,424.0000000000,-26.0000000000,,278.0000000000,-278.0000000000,366.7000000000,33.7000000000,-33.7000000000,2.3500000000,0.7400000000,-0.3000000000,668.0000000000,,42.3300000000,-16.2600000000,12.6000000000,1.0000000000,,158.0000000000,-248.0000000000,,65.0000000000,-182.0000000000,1218.0000000000,382.0000000000,,,41.5357890000,15353.0000000000,2.0
4915,3561464,FALSE POSITIVE,2,1.0,,,,7.3194529400,0.0000616000,-0.0000616000,137.2206500000,0.0073900000,-0.0073900000,112.0000000000,342.0000000000,-112.0000000000,4881.0000000000,228.0000000000,,,11.1000000000,-11.1000000000,5.0500000000,,-1.7600000000,1682.0000000000,1891.0700000000,874.7500000000,-1129.2100000000,,,5745.0000000000,86.0000000000,-77.0000000000,3.4990000000,259.0000000000,-129.0000000000,3955.0000000000,688.0000000000,-1376.0000000000,295.4981100000,,13489.0000000000,0.0
4916,3561464,CANDIDATE,996,0.0,0.0,0.0,0.0,,0.0003713000,-0.0003713000,,0.0093500000,,43.0000000000,,-43.0000000000,8219.0000000000,208.0000000000,-208.0000000000,,17.5000000000,-17.5000000000,7.9700000000,1.3900000000,-2.7700000000,991.0000000000,227.6800000000,105.3200000000,-135.9500000000,,1.0000000000,,86.0000000000,-77.0000000000,3.4990000000,259.0000000000,-129.0000000000,3955.0000000000,688.0000000000,-1376.0000000000,,38.6445010000,,2.0
4917,3561464,,,,0.0,0.0,,4.3271057900,0.0604500000,,131.5891000000,0.0125000000,-0.0125000000,25.0000000000,426.0000000000,-25.0000000000,,314.0000000000,-314.0000000000,84.1000000000,10.0000000000,-10.0000000000,,0.6200000000,-1.2500000000,,,1760.4700000000,-2272.5900000000,9.5000000000,3.0000000000,5745.0000000000,86.0000000000,-77.0000000000,3.4990000000,259.0000000000,-129.0000000000,,688.0000000000,-1376.0000000000,295.4981100000,38.6445010000,13489.0000000000,2.0
4918,,FALSE POSITIVE,,0.0,,1.0,1.0,14.1540261500,0.0807800000,-0.0807800000,144.1768500000,0.0050700000,,1199.0000000000,69.5000000000,-1432.0000000000,4115.0000000000,203.0000000000,-203.0000000000,21653.0000000000,1020.0000000000,-1020.0000000000,29.6100000000,,-2.6000000000,,14.2500000000,4.2600000000,,23.9000000000,1.0000000000,4352.0000000000,,-153.0000000000,4.6100000000,0.0520000000,-21.0000000000,661.0000000000,,-58.0000000000,290.3544300000,41.7691800000,15056.0000000000,
4919,7121885,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,33.9375421300,0.0000112000,,147.1824010000,0.0003040000,-0.0003040000,1979.0000000000,,-0.2200000000,,23.0000000000,-23.0000000000,,,,,47.4700000000,-19.0600000000,618.0000000000,,35.8100000000,-12.8400000000,,1.0000000000,6220.0000000000,,-259.0000000000,4414.0000000000,0.0720000000,-217.0000000000,,366.0000000000,-147.0000000000,293.0306700000,,,1.0
4920,5213404,CANDIDATE,,0.0,,0.0,0.0,20.7057153000,,-0.0007598000,139.9803000000,0.0222000000,-0.0222000000,922.0000000000,46.0000000000,-651.0000000000,,577.0000000000,,115.9000000000,9.9000000000,-9.9000000000,3.2200000000,0.5600000000,-1.0400000000,967.0000000000,206.7300000000,,,13.5000000000,1.0000000000,5668.0000000000,85.0000000000,-76.0000000000,3792.0000000000,255.0000000000,-102.0000000000,2437.0000000000,423.0000000000,-785.0000000000,298.1188700000,40.3750500000,14276.0000000000,0.0
,,CANDIDATE,955,0.0,0.0,0.0,0.0,60.5329880000,,-0.0004557000,134.5746100000,0.0055400000,-0.0055400000,618.0000000000,303.0000000000,-402.0000000000,7086.0000000000,179.0000000000,-179.0000000000,467.5000000000,22.3000000000,-22.3000000000,1.9100000000,,,,7.3600000000,6.0100000000,-1.8500000000,23.8000000000,1.0000000000,5631.0000000000,152.0000000000,-152.0000000000,4.5570000000,35.0000000000,-184.0000000000,847.0000000000,235.0000000000,-73.0000000000,294.2503700000,39.9439390000,14196.0000000000,2.0
4922,11551692,CANDIDATE,,0.0,,0.0,,58.0198583000,0.0001432000,-0.0001432000,,0.0018800000,-0.0018800000,951.0000000000,14.0000000000,-11.0000000000,5348.0000000000,182.0000000000,-182.0000000000,1286.6000000000,34.8000000000,-34.8000000000,3.4600000000,0.2900000000,-0.1000000000,,,0.9900000000,-0.4900000000,,3.0000000000,4920.0000000000,,-98.0000000000,4.6200000000,,-0.0590000000,0.7200000000,,-22.0000000000,287.6055900000,49.5232580000,12231.0000000000,2.0
4923,9995771,CANDIDATE,733,,,0.0,0.0,15.0617835000,0.0002645000,-0.0002645000,140.1111000000,16.0000000000,-16.0000000000,114.0000000000,335.0000000000,-114.0000000000,6.3100000000,299.0000000000,-299.0000000000,196.6000000000,17.9000000000,-17.9000000000,1.6100000000,0.2700000000,-0.2100000000,794.0000000000,,41.7900000000,-26.2800000000,12.1000000000,2.0000000000,5806.0000000000,78.0000000000,-78.0000000000,4.3210000000,115.0000000000,-115.0000000000,1158.0000000000,,,283.7978200000,,15386.0000000000,2.0
4924,7287391,FALSE POSITIVE,0.0,0.0,1.0,0.0,,4.2861030330,0.0010110000,-0.0010110000,134.5907770000,0.0002110000,-0.0002110000,544.0000000000,11.0000000000,-15.0000000000,,0.0131000000,-0.0131000000,173360.0000000000,786.0000000000,-786.0000000000,25.8000000000,,-2.9200000000,686.0000000000,52.4200000000,17.8200000000,-17.1700000000,397.1000000000,,4206.0000000000,,-161.0000000000,,,-0.0270000000,,48.0000000000,,293.4635600000,,15295.0000000000,1.0
4925,6756202,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,290.7778719000,0.0529100000,-0.0529100000,,0.0001200000,-0.0001200000,761.0000000000,31.0000000000,-41.0000000000,12.0525000000,0.0107000000,-0.0107000000,,150.0000000000,-150.0000000000,45.2700000000,6.0500000000,-4.0700000000,222.0000000000,0.5800000000,0.2500000000,-0.1500000000,,1.0000000000,5207.0000000000,154.0000000000,-138.0000000000,4585.0000000000,48.0000000000,,,98.0000000000,-66.0000000000,283.8986200000,42.2999920000,14282.0000000000,1.0
,10215869,FALSE POSITIVE,0.0,,1.0,0.0,0.0,5.0172399150,0.0000014880,-0.0000014880,134.4901360000,,-0.0001950000,191.0000000000,,-18.0000000000,,,-0.0084100000,144640.0000000000,187.0000000000,-187.0000000000,41.7500000000,13.1200000000,-4.6800000000,1229.0000000000,538.7700000000,499.4400000000,-175.5600000000,970.9000000000,1.0000000000,6519.0000000000,,-250.0000000000,4.4100000000,0.0700000000,-0.2100000000,1079.0000000000,339.0000000000,,294.9237100000,47.2499890000,14115.0000000000,1.0
4927,5456319,FALSE POSITIVE,,0.0,0.0,1.0,0.0,0.9379234750,0.0000094730,-0.0000094730,,,-0.0078700000,,,-454.0000000000,3164.0000000000,218.0000000000,-218.0000000000,40.4000000000,,,,0.1000000000,-0.0400000000,1588.0000000000,1503.0500000000,859.6000000000,-370.8600000000,,1.0000000000,5398.0000000000,160.0000000000,-160.0000000000,4.5800000000,,-127.0000000000,805.0000000000,147.0000000000,-63.0000000000,294.1164900000,40.6810610000,14.4030000000,
4928,2307206,FALSE POSITIVE,0.0,0.0,1.0,0.0,,,0.0001602000,-0.0001602000,253.5366260000,0.0003950000,-0.0003950000,0.4900000000,14.0000000000,-14.0000000000,17.5623000000,0.0231000000,-0.0231000000,411370.0000000000,504.0000000000,-504.0000000000,57.3500000000,12.5300000000,-4.9800000000,272.0000000000,1.2900000000,0.8700000000,-0.3400000000,884.9000000000,1.0000000000,5553.0000000000,166.0000000000,-166.0000000000,,0.0360000000,-0.1440000000,806.0000000000,176.0000000000,-0.0700000000,,37.6574590000,,1.0
4929,7025540,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,2.1482195410,0.0000003170,-0.0000003170,132.7667300000,0.0001320000,-0.0001320000,424.0000000000,19.0000000000,-21.0000000000,2.9409100000,0.0066000000,-0.0066000000,457840.0000000000,845.0000000000,-845.0000000000,49.6000000000,3.9100000000,-4.8000000000,1009.0000000000,244.9900000000,83.2300000000,-72.2200000000,619.8000000000,,4694.0000000000,,-168.0000000000,4.6000000000,0.0590000000,-32.0000000000,672.0000000000,,-65.0000000000,289.2528100000,,15783.0000000000,1.0
4930,7620844,,,0.0,1.0,0.0,0.0,58.6215788240,,-0.0076430000,178.5674958000,0.0000996000,-0.0000996000,896.0000000000,38.0000000000,-36.0000000000,8.5296100000,0.0058200000,,142950.0000000000,89.6000000000,,40.4300000000,4.9600000000,,385.0000000000,5.1900000000,2.1700000000,,1887.7000000000,1.0000000000,,157.0000000000,-157.0000000000,4.5540000000,0.0900000000,-67.0000000000,725.0000000000,89.0000000000,,295.6103800000,43.2604220000,15161.0000000000,1.0
4931,6677267,,0.0,,1.0,1.0,,3.1258211280,0.0000007190,-0.0000007190,134.4796840000,,-0.0001940000,,,-197.0000000000,,0.0101000000,-0.0101000000,5025.4000000000,25.5000000000,-25.5000000000,,16.9800000000,-39.6600000000,2087.0000000000,4481.7600000000,,-2831.1300000000,245.2000000000,1.0000000000,6137.0000000000,167.0000000000,,,0.3000000000,-0.0800000000,2852.0000000000,438.0000000000,-1023.0000000000,287.1516700000,42.1103780000,12.7700000000,
,5736801,FALSE POSITIVE,0.0,,0.0,1.0,0.0,6.6751871000,0.0001922000,-0.0001922000,137.4528000000,26.0000000000,-26.0000000000,251.0000000000,,-251.0000000000,2372.0000000000,,-805.0000000000,,,-60.0000000000,1.0900000000,0.3000000000,-0.1000000000,890.0000000000,148.2800000000,122.3000000000,-41.2000000000,7.0000000000,,5774.0000000000,172.0000000000,-189.0000000000,4567.0000000000,46.0000000000,-184.0000000000,818.0000000000,,-75.0000000000,299.3399400000,40.9253620000,15554.0000000000,1.0
4933,8177798,FALSE POSITIVE,0.0,0.0,1.0,0.0,,1.4502058390,0.0000003820,-0.0000003820,131.9855230000,,-0.0002240000,,112.0000000000,-104.0000000000,3.6373000000,0.0115000000,-0.0115000000,25884.0000000000,,-74.2000000000,,25.6300000000,-20.9800000000,2675.0000000000,12063.4400000000,9872.6500000000,-5972.1100000000,,1.0000000000,7564.0000000000,211.0000000000,,4093.0000000000,0.1440000000,-0.1760000000,1893.0000000000,523.0000000000,-428.0000000000,,44.0056800000,13.9100000000,1.0
,10489521,FALSE POSITIVE,0.0,0.0,1.0,,0.0,3.2244864630,,-0.0000004560,131.8559250000,0.0001590000,-0.0001590000,421.0000000000,,-9.0000000000,,0.0034300000,-0.0034300000,,389.0000000000,-389.0000000000,79.0800000000,24.0000000000,-12.9500000000,1456.0000000000,1060.4200000000,948.0800000000,-425.0500000000,1905.1000000000,1.0000000000,,176.0000000000,-242.0000000000,4331.0000000000,0.1080000000,-201.0000000000,1.1600000000,352.0000000000,-0.1900000000,298.3532700000,47.6688800000,16169.0000000000,1.0
4935,9328641,FALSE POSITIVE,0.0,1.0,0.0,0.0,0.0,33.3239576000,0.0001513000,,132.5898900000,,,0.4700000000,62.0000000000,-227.0000000000,37217.0000000000,,-233.0000000000,2012.1000000000,14.0000000000,-14.0000000000,,,-0.1100000000,416.0000000000,,1.8400000000,-1.4400000000,173.7000000000,1.0000000000,5192.0000000000,180.0000000000,-180.0000000000,4707.0000000000,46.0000000000,-25.0000000000,,27.0000000000,-24.0000000000,284.8516200000,45.8635100000,15213.0000000000,
,9966219,CANDIDATE,996,,0.0,0.0,0.0,,0.0002547000,-0.0002547000,139.0347000000,0.0107000000,-0.0107000000,,,-742.0000000000,6237.0000000000,316.0000000000,,137.0000000000,13.6000000000,-13.6000000000,1.9600000000,,,750.0000000000,74.6100000000,,-25.2200000000,11.9000000000,,,76.0000000000,-76.0000000000,4258.0000000000,162.0000000000,-0.1080000000,,177.0000000000,,297.4783900000,,14388.0000000000,2.0
4937,,FALSE POSITIVE,,,0.0,,,,,-0.0158300000,131.9021000000,0.0144000000,-0.0144000000,119.0000000000,344.0000000000,-119.0000000000,4415.0000000000,,-0.4700000000,,3.3000000000,-3.3000000000,1.4100000000,0.2400000000,-0.5800000000,2761.0000000000,,7662.9700000000,-9444.6200000000,,1.0000000000,5766.0000000000,173.0000000000,-144.0000000000,3783.0000000000,0.3300000000,-0.1100000000,2409.0000000000,423.0000000000,-986.0000000000,299.3726800000,,13134.0000000000,1.0
,5531953,FALSE POSITIVE,329,0.0,,1.0,,1.9928123390,,-0.0078320000,131.7056500000,,-0.0030700000,1127.0000000000,,,2066.0000000000,,-177.0000000000,314.8000000000,22.8000000000,-22.8000000000,6.8100000000,,-0.9000000000,675.0000000000,48.8200000000,16.1800000000,-15.5300000000,16.8000000000,,3638.0000000000,,-87.0000000000,4.8440000000,49.0000000000,,,,,291285.0000000000,40.7300490000,15855.0000000000,
4939,3757778,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,36.5143740430,,-0.0045030000,163.7944630000,0.0001070000,-0.0001070000,133.0000000000,12.0000000000,-0.0200000000,6.4825500000,0.0070100000,,,79.8000000000,-79.8000000000,33.2700000000,,-3.3900000000,546.0000000000,21.0800000000,19.0000000000,-6.3300000000,1701.1000000000,1.0000000000,5811.0000000000,162.0000000000,-203.0000000000,4465.0000000000,0.0540000000,-0.2160000000,1.0000000000,305.0000000000,,294.1962900000,38.8371200000,15423.0000000000,1.0
,11754430,,,0.0,0.0,,0.0,39.8188320000,0.0003100000,,166.6507200000,,-0.0065600000,,,,10757.0000000000,191.0000000000,-191.0000000000,199.1000000000,,,2.2300000000,0.3600000000,,650.0000000000,42.3200000000,19.3200000000,-18.2000000000,29.4000000000,,5710.0000000000,114.0000000000,,4073.0000000000,201.0000000000,,1524.0000000000,,-336.0000000000,286.6464200000,49.9377780000,13102.0000000000,0.0
,9995771,CANDIDATE,,0.0,0.0,,0.0,25.4337864000,0.0003215000,-0.0003215000,143.1302000000,0.0115000000,,232.0000000000,,-232.0000000000,6514.0000000000,235.0000000000,-235.0000000000,302.0000000000,22.4000000000,-22.4000000000,2.0000000000,0.3400000000,-0.2500000000,667.0000000000,46.8000000000,20.7900000000,,14.3000000000,1.0000000000,5806.0000000000,78.0000000000,-78.0000000000,4.3210000000,115.0000000000,-115.0000000000,1158.0000000000,197.0000000000,-148.0000000000,,46931.0000000000,15386.0000000000,
4942,11875511,,0.0,0.0,,0.0,0.0,67.4510450000,0.0856800000,-0.0856800000,151.9675600000,0.0010400000,-0.0010400000,,,,8.9387000000,71.0000000000,-71.0000000000,7062.8000000000,44.6000000000,,36.7000000000,,-25.3800000000,562.0000000000,23.6100000000,40.9700000000,-21.5800000000,205.4000000000,1.0000000000,4847.0000000000,134.0000000000,-122.0000000000,3.7260000000,0.8400000000,-0.3600000000,2191.0000000000,1.2400000000,-1515.0000000000,297.1697700000,50.1473690000,13342.0000000000,1.0
4943,6231721,CANDIDATE,0.95,0.0,0.0,0.0,0.0,2.6933997400,0.0295100000,,,0.0104000000,-0.0104000000,279.0000000000,186.0000000000,,1936.0000000000,,-257.0000000000,147.5000000000,22.0000000000,-22.0000000000,,0.1900000000,-0.1100000000,1151.0000000000,415.9600000000,,-117.0700000000,8.7000000000,1.0000000000,5355.0000000000,175.0000000000,-159.0000000000,4511.0000000000,57.0000000000,-133.0000000000,,0.1600000000,,,41.5210690000,15673.0000000000,2.0
4944,9536108,CANDIDATE,972,0.0,0.0,0.0,0.0,10.4300311800,0.0782100000,,,0.0056900000,-0.0056900000,283.0000000000,178.0000000000,-283.0000000000,2029.0000000000,196.0000000000,-196.0000000000,120.0000000000,14.3000000000,-14.3000000000,1.1400000000,0.3600000000,,906.0000000000,159.5800000000,145.1600000000,-47.4200000000,,1.0000000000,,169.0000000000,-206.0000000000,4449.0000000000,0.0520000000,-0.2080000000,,0.3200000000,-107.0000000000,295.6385500000,46.1325490000,,
,8905246,CANDIDATE,1.0,0.0,0.0,0.0,,27.6371470800,0.0676100000,-0.0676100000,143.9334200000,,-0.0019300000,669.0000000000,1.0000000000,-519.0000000000,1.7277000000,0.0716000000,,,,,6.9600000000,2.4400000000,-4.5300000000,816.0000000000,,112.6900000000,-93.3000000000,27.4000000000,1.0000000000,5214.0000000000,173.0000000000,,,,-0.2500000000,2427.0000000000,,-1579.0000000000,298.0759000000,,13.8510000000,2.0
4946,5213230,CANDIDATE,978,0.0,0.0,0.0,0.0,52.6095103000,0.0007321000,-0.0007321000,,,-0.0108000000,102.0000000000,347.0000000000,-102.0000000000,8202.0000000000,358.0000000000,,,15.2000000000,-15.2000000000,1.8300000000,0.3000000000,,553.0000000000,,9.2800000000,-7.9000000000,15.3000000000,1.0000000000,5881.0000000000,79.0000000000,-79.0000000000,4.2590000000,0.1370000000,-0.1120000000,,207.0000000000,-228.0000000000,,40.3462100000,14192.0000000000,
4947,3326377,CANDIDATE,,0.0,0.0,0.0,,198.7106251000,0.0007117000,-0.0007117000,156.5181900000,0.0030300000,,26.0000000000,387.0000000000,-26.0000000000,8638.0000000000,115.0000000000,-115.0000000000,2094.8000000000,35.7000000000,-35.7000000000,3.5600000000,0.2400000000,-0.1900000000,258.0000000000,1.0500000000,0.2500000000,,62.1000000000,2.0000000000,5180.0000000000,103.0000000000,-103.0000000000,4548.0000000000,0.0360000000,-0.0540000000,0.8000000000,,-43.0000000000,286.5580700000,38.4053690000,14443.0000000000,0.0
4948,6233466,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,15.8733805950,0.0000062700,,143.8599410000,0.0004210000,-0.0004210000,3454.0000000000,558.0000000000,-339.0000000000,8.0429000000,,-22.0000000000,208360.0000000000,,-282.0000000000,630.5300000000,168.7000000000,-313.4000000000,962.0000000000,202.2300000000,167.8700000000,-156.9600000000,978.2000000000,1.0000000000,5622.0000000000,,-169.0000000000,3907.0000000000,,-177.0000000000,1895.0000000000,,-942.0000000000,299.0472700000,41.5380780000,,1.0
4949,,FALSE POSITIVE,,1.0,0.0,0.0,0.0,50.5636970000,0.0010690000,-0.0010690000,145.8658000000,0.0168000000,-0.0168000000,779.0000000000,206.0000000000,-574.0000000000,5381.0000000000,,-0.8300000000,,15.0000000000,,1.5700000000,0.3200000000,-0.2900000000,761.0000000000,79.3600000000,41.1500000000,-29.1200000000,6.8000000000,,6759.0000000000,,-81.0000000000,4018.0000000000,0.1480000000,-121.0000000000,2022.0000000000,,-374.0000000000,,40.6708410000,10948.0000000000,1.0
4950,11249624,,0.0,0.0,1.0,0.0,0.0,65.5836655670,0.0000056740,-0.0000056740,182.6493381000,0.0000704000,-0.0000704000,,23.0000000000,,5.0121600000,0.0038900000,-0.0038900000,,173.0000000000,-173.0000000000,41.2200000000,,-2.5400000000,371.0000000000,,2.0700000000,-0.9900000000,1649.5000000000,1.0000000000,5516.0000000000,,-166.0000000000,4.6500000000,0.0360000000,-84.0000000000,666.0000000000,88.0000000000,-41.0000000000,294.4386300000,,15743.0000000000,
4951,8491745,FALSE POSITIVE,0.0,0.0,,0.0,,111.3198052200,0.0206500000,-0.0206500000,226.6487050000,0.0001440000,-0.0001440000,234.0000000000,4.0000000000,-6.0000000000,23.0078000000,0.0115000000,,62705.0000000000,21.3000000000,-21.3000000000,63.6800000000,,-9.2500000000,539.0000000000,20.0100000000,19.6000000000,,3433.7000000000,1.0000000000,5022.0000000000,125.0000000000,-88.0000000000,3562.0000000000,132.0000000000,-0.1810000000,2.5800000000,876.0000000000,-375.0000000000,290.5116300000,44.5560190000,12439.0000000000,1.0
4952,,FALSE POSITIVE,0.0,0.0,,0.0,0.0,110.2951268400,,-0.0251700000,235.7509480000,0.0001640000,,,4.0000000000,-4.0000000000,,0.0119000000,-0.0119000000,176340.0000000000,108.0000000000,-108.0000000000,,10.5400000000,,362.0000000000,,,-1.2700000000,2084.3000000000,,5753.0000000000,155.0000000000,-172.0000000000,4503.0000000000,62.0000000000,-188.0000000000,895.0000000000,,-107.0000000000,295.4620100000,39.0843890000,15258.0000000000,1.0
4953,11147814,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,95.1783179340,0.0000039800,-0.0000039800,224.5967850000,,,761.0000000000,0.0100000000,-12.0000000000,3.6012500000,0.0028600000,-0.0028600000,128580.0000000000,,-85.3000000000,28.7500000000,2.2900000000,-2.5500000000,272.0000000000,1.2900000000,0.4000000000,,2279.1000000000,1.0000000000,4523.0000000000,136.0000000000,-123.0000000000,,0.0520000000,,,52.0000000000,-58.0000000000,,48.7575800000,14401.0000000000,1.0
